Creamy Caesar,15,mL,salad dressings,15,79,329,0,0,9,1.3,2,4.9,-1,0,4,0,161,4,0,3,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creamy Caesar, low Calorie",15,mL,salad dressings,15,17,70,0,3,1,0.1,0.2,0.4,-1,0,4,0,164,4,0,3,0,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Creamy dressing, fat-free",15,mL,salad dressings,16,21,90,0,5,0,0,0,0,-1,0,1,0.1,130,14,0,0,0,0,0,0,0,2,3,0,0,0,52,6,0,0,0,0,0.4
French,15,mL,salad dressings,16,72,303,0,2,7,0.9,1.3,3.3,-1,0,4,0.1,133,11,1,3,4,0,0.8,0,0.02,0,3,0,0.01,0,59,44,0,0,0,0,0
"French, low fat",15,mL,salad dressings,16,33,138,0,4,2,0.3,0.5,1.2,-1,0,2,0.1,165,13,0,2,2,0,0.5,0,0,0,4,0,0,0,633,20,0,0,0,0,0
Italian,15,mL,salad dressings,15,43,181,0,2,4,0.7,0.9,1.9,-1,0,1,0.1,246,7,0,1,2,0,0.7,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"Italian, low Calorie",15,mL,salad dressings,15,11,48,0,1,1,0.1,0.3,0.3,-1,1,1,0.1,208,13,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mayonnaise,15,mL,salad dressings,14,100,419,0,1,11,1.7,2.7,6,0,5,3,0.1,79,5,0,4,11,0,0.7,0,0.04,1,0,0,0,0,0,1,0,0,0,0,0
"Mayonnaise, light",15,mL,salad dressings,16,51,215,0,1,5,0.8,1.3,2.8,0,6,1,0.1,107,6,0,6,3,-1,0.5,0,0,1,1,0,0,0,0,15,0,0,0,0,0
"Non creamy dressing, fat-free",15,mL,salad dressings,15,7,29,0,1,0,0,0,0,-1,0,4,0.1,165,15,1,16,0,0,0.1,0,0.05,2,1,0,0.01,0,1,6,0,0,0,0,0.1
Oil and vinegar,15,mL,salad dressings,16,73,305,0,0,8,1.5,2.4,3.9,-1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranch,15,mL,salad dressings,15,71,297,0,1,8,1.2,1.7,4.2,0,5,5,0.1,120,9,1,24,1,0,0.7,0,0.05,1,0,0,0.01,0,0,0,0,0,0,0,0.1
"Ranch, low fat",15,mL,salad dressings,16,36,149,0,3,3,0.2,0.9,0.7,0,3,20,0.1,151,21,1,31,3,0,0.3,0,0,1,1,0,0,0,0,1,0,0,0,0,0.1
"Salad dressing, mayonnaise type",15,mL,salad dressings,15,58,243,0,4,5,0.7,1.3,2.7,0.4,4,2,0,106,1,0,4,3,0,0.3,0,0.03,1,1,0,0,0,0,14,0,0,0,0,0
"Salad dressing, mayonnaise type, fat-free",15,mL,salad dressings,16,14,57,0,3,0,0.1,0.3,0,-1,1,1,0,128,8,0,1,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3
"Salad dressing, mayonnaise type, light",15,mL,salad dressings,15,44,184,0,2,4,0.2,2.2,1.1,-1,0,0,0,117,0,0,-1,3,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,0,0
Thousand Island,15,mL,salad dressings,16,59,245,0,2,6,0.8,1.2,2.9,-1,4,3,0.2,137,17,1,4,2,-1,0.6,0,0,0,2,0.2,0.01,0.1,412,15,0,0,0,0,0.1
"Thousand Island, low Calorie",15,mL,salad dressings,16,32,132,0,3,2,0.1,1,0.4,-1,0,2,0.1,129,31,1,2,2,-1,0.2,0,0,0,3,0,0.01,0.1,481,24,0,0,0,0,0.2
