"Pineapple, cubes",125,fruit,mL,82,42,174,-1,11,8,1.1,-1,11,0.2,1,88,10,7,2,28,0,16,46,0,0
"Plantain, baked or boiled, sliced",125,fruit,mL,81,94,395,1,25,11,1.9,-1,2,0.5,4,378,26,23,37,300,0,21,9,0,0
Plum,1,fruit,unit,66,30,127,-1,8,7,1.1,-1,4,0.1,0,104,5,11,11,125,0,3,6,0,0
Pomegranate (9.5cm diam),0.5,fruit,unit,77,53,220,1,13,13,0.5,-1,2,0.2,2,200,2,6,2,31,0,5,5,0,0
"Prunes, dried",3,fruit,unit,25,60,253,1,16,10,1.8,-1,11,0.2,1,184,10,17,10,99,0,1,-1,0,0
"Prunes, dried, cooked, without added sugar",60,fruit,mL,63,67,281,1,18,16,3.6,-1,12,0.3,1,202,11,19,11,109,0,0,2,0,0
Raisins,60,fruit,mL,37,110,460,1,29,22,1.3,-1,18,0.7,4,275,12,37,0,0,0,2,1,0,0
Raspberries,125,fruit,mL,65,34,141,1,8,3,4.2,-1,16,0.4,1,98,14,19,1,8,0,14,17,0,0
"Rhubarb, frozen, cooked, with added sugar",125,fruit,mL,127,147,615,-1,40,36,2.5,-1,184,0.3,1,122,15,10,5,56,0,6,4,0,0
Strawberries,7,fruit,unit,84,27,113,1,6,4,1.9,-1,13,0.4,1,129,11,20,1,6,0,20,49,0,0
"Strawberries, frozen, unsweetened",125,fruit,mL,117,41,170,1,11,5,1.8,-1,19,0.9,2,173,13,15,2,32,0,20,48,0,0
Tangerine (mandarin),1,fruit,unit,84,45,186,1,11,9,1.5,-1,31,0.1,2,139,10,17,11,130,0,13,22,0,0
"Tangerine (mandarin), canned, juice pack, drained",125,fruit,mL,100,38,159,1,9,8,1.2,-1,12,0.3,5,136,11,11,25,298,0,5,34,0,0
"Apple juice, ready-to-drink, vitamin C added",125,fruit juice,mL,126,59,249,-1,15,14,0.1,-1,9,0.5,4,150,4,9,0,0,0,-1,52,0,0
"Cranberry juice cocktail, ready-to-drink, vitamin C added",125,fruit juice,mL,134,76,318,0,19,16,0.1,-1,4,0.2,3,24,3,3,0,0,0,0,48,0,0
"Cranberry juice, unsweetened, ready-to-drink",125,fruit juice,mL,134,61,257,1,16,16,0.1,-1,11,0.3,3,103,8,17,3,36,0,1,12,0,0
"Cranberry-apple juice-drink, ready-to-drink, low Calorie, vitamin C added",125,fruit juice,mL,127,24,100,-1,6,6,0.1,0,13,0.1,6,57,4,1,1,8,0,0,41,0,0
"Grape juice, frozen, sweetened, diluted, vitamin C added",125,fruit juice,mL,132,67,281,-1,17,17,0.1,-1,5,0.1,3,28,5,5,0,7,0,1,20,0,0
"Grape juice, ready-to-drink, vitamin C added",125,fruit juice,mL,132,81,337,1,20,20,0.1,-1,12,0.3,4,174,13,15,0,7,0,4,32,0,0
"Grapefruit juice, ready-to-drink unsweetened or freshly squeezed",125,fruit juice,mL,130,50,210,1,12,12,0.4,-1,10,0.3,1,206,14,17,1,11,0,13,44,0,0
"Grapefruit juice, ready-to-drink, sweetened",125,fruit juice,mL,132,61,254,1,15,15,0.1,-1,11,0.5,3,214,13,15,0,4,0,13,36,0,0
"Lemon juice, canned or bottled",15,fruit juice,mL,15,3,14,-1,1,-1,0.1,-1,2,-1,3,16,1,1,-1,-1,0,2,4,0,0
"Lime juice, canned or bottled",15,fruit juice,mL,16,3,14,-1,1,-1,0.1,-1,2,-1,2,12,1,2,-1,2,0,1,1,0,0
"Nectar, apricot",125,fruit juice,mL,133,74,310,-1,19,18,0.8,-1,9,0.5,4,151,7,12,88,1042,0,1,44,0,0
"Nectar, mango",125,fruit juice,mL,133,68,281,-1,17,17,0.4,-1,23,0.5,7,32,4,3,46,533,0,9,20,0,0
"Orange and grapefruit juice, ready-to-drink",125,fruit juice,mL,130,56,235,1,13,13,0.1,-1,10,0.6,4,206,13,18,8,26,0,18,38,0,0
"Orange juice, frozen, diluted",125,fruit juice,mL,132,59,247,1,14,11,0.3,-1,12,0.1,1,250,13,21,7,22,0,58,51,0,0
"Orange juice, ready-to-drink",125,fruit juice,mL,132,58,242,1,13,-1,0.3,-1,13,0.2,1,250,14,14,5,61,0,24,43,0,0
"Orange juice, ready-to-drink, refrigerated, vitamin D and calcium added",125,fruit juice,mL,132,58,242,1,13,-1,0.3,-1,185,0.2,1,250,14,14,5,-1,0,-1,43,0,0
"Orange, strawberry and banana juice, ready-to-drink",125,fruit juice,mL,124,57,237,1,15,13,0.2,-1,14,0.3,5,124,12,15,1,21,0,21,31,0,0
"Pineapple juice, ready-to-drink, vitamin C added",125,fruit juice,mL,132,74,309,-1,18,13,0.3,-1,22,0.3,1,177,17,11,0,4,0,30,32,0,0
"Pomegranate juice, ready-to-drink",125,fruit juice,mL,128,72,300,0,20,17,0,0,0,0,5,215,-1,-1,0,-1,-1,-1,0,0,0
"Prune juice, ready-to-drink",125,fruit juice,mL,135,96,402,1,24,22,1.4,-1,16,1.6,5,373,19,34,0,3,0,0,6,0,0
